Name          Accuracy  Classification error
----------  ----------  ---------------------------
Một           0.857143  ['Bốn', 'Bún Bò']
Hai           0.928571  ['Tương Ớt']
Ba            0.928571  ['Bún Bò']
Bốn           0.785714  ['Bún Bò', 'Một', 'Bún Bò']
Năm           0.928571  ['Mỳ Quảng']
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    0.928571  ['Tương Ớt']
Mực Hấp       1         []
Tương Ớt      1         []
Nước Tương    1         []
Hủy           1         []
Thêm          1         []
Cần           1         []
Xem           1         []
Nhân Viên     1         []
Menu          0.833333  ['Tương Ớt']
